school id,Enrollment,White,Black,Hispanic,Asian
13K499,504,1.6%,83.5%,12.9%,1.0%
25Q460,2186,3.7%,23.7%,51.1%,20.3%
25Q281,666,5.3%,14.9%,18.3%,60.7%
25Q263,437,2.5%,2.5%,38.4%,55.6%
25Q285,610,50.3%,9.1%,22.7%,15.8%
26Q495,3336,18.1%,13.0%,27.9%,40.3%
26Q415,3505,14.9%,20.3%,19.4%,44.1%
26Q430,4172,14.9%,7.4%,23.1%,53.9%
25Q252,557,19.2%,19.5%,21.8%,36.2%
25Q670,701,18.3%,13.0%,35.5%,31.2%
25Q425,3667,4.5%,18.4%,46.0%,29.4%
25Q525,1132,21.9%,6.3%,11.6%,58.6%
24Q550,870,4.1%,7.8%,77.2%,10.2%
24Q293,479,5.6%,7.9%,71.8%,9.8%
24Q585,973,35.8%,2.0%,44.6%,17.5%
24Q296,378,0.0%,0.0%,99.7%,0.3%
24Q455,1921,4.3%,8.3%,61.4%,24.0%
28Q686,1035,35.7%,4.2%,46.9%,11.0%
24Q485,1828,18.9%,4.5%,65.7%,9.7%
29Q498,525,1.1%,81.0%,11.8%,5.5%
29Q492,433,1.6%,72.3%,11.8%,9.9%
29Q259,599,1.3%,89.7%,5.7%,2.8%
29Q265,491,1.2%,82.7%,9.2%,3.7%
29Q283,552,2.4%,81.0%,8.4%,4.2%
29Q248,492,1.0%,80.7%,9.1%,4.3%
29Q272,509,1.8%,75.6%,11.4%,9.4%
27Q650,959,12.3%,10.7%,35.6%,35.5%
27Q480,2634,2.9%,23.9%,37.9%,31.0%
27Q308,602,17.6%,7.3%,41.7%,29.4%
27Q475,2175,5.4%,13.6%,48.2%,31.4%
29Q326,372,2.2%,79.0%,9.1%,6.7%
26Q566,1120,8.4%,48.1%,17.5%,24.8%
26Q435,1742,3.6%,52.7%,13.0%,27.0%
28Q680,779,2.9%,38.2%,14.2%,43.3%
28Q350,516,2.3%,42.6%,10.9%,40.7%
28Q328,418,4.5%,42.3%,26.6%,22.7%
28Q896,557,1.9%,47.5%,19.7%,26.9%
28Q310,661,4.1%,53.4%,16.1%,24.8%
28Q505,3286,3.8%,30.3%,28.8%,34.5%
28Q620,2098,4.2%,20.9%,22.4%,49.0%
28Q325,464,3.0%,37.7%,24.4%,27.8%
28Q284,611,1.2%,58.0%,10.3%,28.7%
28Q687,426,6.1%,7.0%,10.6%,75.4%
28Q690,604,1.8%,66.4%,18.9%,10.4%
27Q400,679,1.5%,75.4%,13.0%,7.5%
27Q260,409,0.7%,59.7%,37.9%,1.5%
27Q309,637,2.7%,50.1%,37.7%,6.6%
27Q302,381,2.1%,49.1%,43.6%,4.2%
27Q324,368,14.7%,46.7%,30.2%,3.5%
27Q262,683,10.7%,53.2%,29.1%,6.0%
27Q351,397,3.8%,52.6%,33.5%,5.0%
27Q323,1302,34.7%,22.7%,19.6%,21.4%
